source,source_id,target,target_id
ambos05_vincere,43881582588,deerose2_vincere,45225909418
ambos05_vincere,43881582588,vincere.wallace3,39290422903
ambos05_vincere,43881582588,lozada3_vincere,45337490983
ambos05_vincere,43881582588,lozada2_vincere,45620174739
ambos05_vincere,43881582588,larzsbrand.deod05,44525884729
ambos05_vincere,43881582588,salvatorefranco_team_kaizen,44564201272
ambos05_vincere,43881582588,valerio.gleaming,45438396666
ambos05_vincere,43881582588,salvatorefranco_team_ahmer,44472161078
ambos05_vincere,43881582588,pierreardenscout_jhon,39194934278
ambos05_vincere,43881582588,vincere.wallace4,38566694931
ambos05_vincere,43881582588,salvatorefranco_team_kenzo,44481324700
ambos05_vincere,43881582588,ambos08_vincere,42674181798
lozada9_vincere,46087646493,valerio_average,47651289804
lozada9_vincere,46087646493,helary01_vincere,47585754586
lozada9_vincere,46087646493,lozada14_vincere,47192710277
lozada9_vincere,46087646493,lozada12_vincere,47199010187
lozada9_vincere,46087646493,animalpixel_nft,46370292159
lozada9_vincere,46087646493,animalpixel_nftgoods,46367476796
lozada9_vincere,46087646493,zk4_vincere,46818773429
lozada9_vincere,46087646493,an22_vincere,46638773475
lozada9_vincere,46087646493,hana_vincere,40832247412
lozada9_vincere,46087646493,sachi_vincere,46608689901
lozada9_vincere,46087646493,salvatorefranco_team_kenzo,44481324700
lozada9_vincere,46087646493,che7.vincere,43767409528
lozada9_vincere,46087646493,an16_vincere,46593713795
lozada9_vincere,46087646493,an13_vincere,46396569634
lozada9_vincere,46087646493,an14_vincere,46400561255
lozada9_vincere,46087646493,brousedfitness.bert8,45944380788
lozada9_vincere,46087646493,aureoparis.14haze,8510792645
lozada9_vincere,46087646493,lozada11_vincere,46368881129
lozada9_vincere,46087646493,brousedfitness.bert4,45972360785
lozada9_vincere,46087646493,brousedfitness.bert2,45940692147
lozada9_vincere,46087646493,valerio.gleaming,45438396666
lozada9_vincere,46087646493,lozada2_vincere,45620174739
lozada9_vincere,46087646493,valerio_savvy,46106179457
lozada9_vincere,46087646493,valerio.realtime,46322264949
lozada9_vincere,46087646493,valerio.goodshades,45089214224
lozada9_vincere,46087646493,valerio_amazingly,46118915658
lozada9_vincere,46087646493,valerio_captivating,44670296513
lozada9_vincere,46087646493,ambos3_vincere,44406685356
lozada9_vincere,46087646493,ambos08_vincere,42674181798
lozada9_vincere,46087646493,alberto5_vincere,44887432889
marymay25_vincere,4001504932,jammy03_vincere,47836244699
marymay25_vincere,4001504932,jammy05_vincere,47857410098
marymay25_vincere,4001504932,jee01_vincere,47399358480
marymay25_vincere,4001504932,calel01_vincere,42115422325
marymay25_vincere,4001504932,vincere_diana1,42086151548
marymay25_vincere,4001504932,valerio_pinnacle,39243431199
marymay25_vincere,4001504932,cercles_nikki2,5392858162
marymay25_vincere,4001504932,issamust_ren5,31601219793
marymay25_vincere,4001504932,issamust_ren7,32827878849
marymay25_vincere,4001504932,lany1_vincere,34368287436
marymay25_vincere,4001504932,shaby09_vincere,34390634042
marymay25_vincere,4001504932,balanzigoldy,35829283581
marymay25_vincere,4001504932,charisse8_vincere,19815219224
marymay25_vincere,4001504932,charisse7_vincere,19769206060
marymay25_vincere,4001504932,charisse5_vincere,24762205758
marymay25_vincere,4001504932,charisse6_vincere,21696027508
marymay25_vincere,4001504932,vincerewears,4305197342
marymay25_vincere,4001504932,marymay03_vincere,10213170000
marymay25_vincere,4001504932,urbanice_news,33231984240
marymay25_vincere,4001504932,dreadclothing_yna,31590266509
marymay25_vincere,4001504932,kity3_recruiter,31608221892
marymay25_vincere,4001504932,kity5_recruiter,33066680262
marymay25_vincere,4001504932,vincere.nor1,6891252523
marymay25_vincere,4001504932,nics5_vincere,4083765822
marymay25_vincere,4001504932,vincere.nor,4019662724
ambos11_vincere,44449260683,lozada14_vincere,47192710277
ambos11_vincere,44449260683,don15_vincere,47367226006
ambos11_vincere,44449260683,hana00_vincere,43109640523
ambos11_vincere,44449260683,an9_vincere,46519912037
ambos11_vincere,44449260683,animalpixel_nftempire,46272894956
ambos11_vincere,44449260683,animalpixel_neontf,46222937425
ambos11_vincere,44449260683,animalpixel_token,46006310318
ambos11_vincere,44449260683,don10_vincere,46471622485
ambos11_vincere,44449260683,don09_vincere,46672146868
ambos11_vincere,44449260683,an18_vincere,46643412822
ambos11_vincere,44449260683,an19_vincere,46827884064
ambos11_vincere,44449260683,animalpixel_nft,46370292159
ambos11_vincere,44449260683,animalpixel_nftgoods,46367476796
ambos11_vincere,44449260683,zk4_vincere,46818773429
ambos11_vincere,44449260683,an20_vincere,46676761055
ambos11_vincere,44449260683,hana_vincere,40832247412
ambos11_vincere,44449260683,aureoparis.14haze,8510792645
ambos11_vincere,44449260683,an16_vincere,46593713795
ambos11_vincere,44449260683,urbanice.breeze,40631416848
ambos11_vincere,44449260683,an13_vincere,46396569634
ambos11_vincere,44449260683,an14_vincere,46400561255
ambos11_vincere,44449260683,ambos08_vincere,42674181798
ambos11_vincere,44449260683,lozada11_vincere,46368881129
ambos11_vincere,44449260683,valerio_savvy,46106179457
ambos11_vincere,44449260683,valerio.realtime,46322264949
ambos11_vincere,44449260683,valerio.goodshades,45089214224
ambos11_vincere,44449260683,valerio_amazingly,46118915658
ambos11_vincere,44449260683,valerio_captivating,44670296513
ambos11_vincere,44449260683,ambos3_vincere,44406685356
ambos11_vincere,44449260683,deerose4_vincere,45045383456
ambos11_vincere,44449260683,deerose2_vincere,45225909418
ambos11_vincere,44449260683,lozada2_vincere,45620174739
ambos11_vincere,44449260683,lozada3_vincere,45337490983
ambos11_vincere,44449260683,valerio.gleaming,45438396666
vincere.fred04,39854149267,brousedfitness.aime10,46122751970
vincere.fred04,39854149267,vincere.wallace2,39180798237
vincere.fred04,39854149267,valerio_average,47651289804
vincere.fred04,39854149267,brousedfitness.aimee5,46159057804
vincere.fred04,39854149267,don15_vincere,47367226006
vincere.fred04,39854149267,che3.vincere,41148694583
vincere.fred04,39854149267,brousedfitness.botching9,45723653619
vincere.fred04,39854149267,brousedfitness.aimee3,45987882032
vincere.fred04,39854149267,brousedfitness.aime07,45986011309
vincere.fred04,39854149267,brousedfitness.aime19,46332180724
vincere.fred04,39854149267,brousedfitness.aime12,45786151138
vincere.fred04,39854149267,brousedfitness.aime09,46360641625
vincere.fred04,39854149267,brousedfitness.aime02,46151526293
vincere.fred04,39854149267,brousedfitness.aimee09,45988306783
vincere.fred04,39854149267,brousedfitness.aimee101,45970109126
vincere.fred04,39854149267,animalpixel_neontf,46222937425
vincere.fred04,39854149267,valerio_captivating,44670296513
vincere.fred04,39854149267,brousedfitness.joset5,45643509089
vincere.fred04,39854149267,animalpixel_token,46006310318
vincere.fred04,39854149267,an18_vincere,46643412822
vincere.fred04,39854149267,an19_vincere,46827884064
vincere.fred04,39854149267,brousedfitness.aimee11,46125398692
vincere.fred04,39854149267,animalpixel_nft,46370292159
vincere.fred04,39854149267,animalpixel_nftgoods,46367476796
vincere.fred04,39854149267,zk4_vincere,46818773429
vincere.fred04,39854149267,an20_vincere,46676761055
vincere.fred04,39854149267,an22_vincere,46638773475
vincere.fred04,39854149267,hana_vincere,40832247412
vincere.fred04,39854149267,brousedfitness.aimee8,45801572775
vincere.fred04,39854149267,brousedfitness_liezel11,45555454556
vincere.fred04,39854149267,valerio_savvy,46106179457
vincere.fred04,39854149267,aureoparis.14haze,8510792645
vincere.fred04,39854149267,peachperfect_frietse,45658704210
vincere.fred04,39854149267,peachperfect_meicy,45639626955
vincere.fred04,39854149267,peachperfect_keite,45657033146
vincere.fred04,39854149267,valerio.goodshades,45089214224
vincere.fred04,39854149267,brousedfitness.aime04,46181466442
vincere.fred04,39854149267,brousedfitness.aimee20,46122743544
vincere.fred04,39854149267,brousedfitness.aimee18,46129270261
vincere.fred04,39854149267,brousedfitness.aimee074,46182160602
vincere.fred04,39854149267,brousedfitness.aime03,46013626132
vincere.fred04,39854149267,brousedfitness.aime05,46343252093
vincere.fred04,39854149267,brousedfitness.carl9,45978088301
vincere.fred04,39854149267,brousedfitness.cathlyn6,45569095222
vincere.fred04,39854149267,salvatorefranco_team_kenzo,44481324700
vincere.fred04,39854149267,valerio_amazingly,46118915658
vincere.fred04,39854149267,an16_vincere,46593713795
vincere.fred04,39854149267,an13_vincere,46396569634
vincere.fred04,39854149267,urbanice.breeze,40631416848
vincere.fred04,39854149267,an14_vincere,46400561255
vincere.fred04,39854149267,brousedfitness.bert1,45914855594
vincere.fred04,39854149267,brousedfitness.bert15,46171160379
vincere.fred04,39854149267,brousedfitness.bert14,46149458938
vincere.fred04,39854149267,brousedfitness.bert10,46320184844
vincere.fred04,39854149267,brousedfitness.bert9,46094559378
vincere.fred04,39854149267,brousedfitness.bert8,45944380788
vincere.fred04,39854149267,brousedfitness.bert7,45779692421
vincere.fred04,39854149267,brousedfitness.bert6,45794738954
vincere.fred04,39854149267,brousedfitness.bert5,46140441329
vincere.fred04,39854149267,che9.vincere,43747975439
vincere.fred04,39854149267,valerio.gleaming,45438396666
vincere.fred04,39854149267,alberto10_vincere,45140056697
vincere.fred04,39854149267,brousedfitness.bert4,45972360785
vincere.fred04,39854149267,brousedfitness.bert3,45776387990
vincere.fred04,39854149267,brousedfitness.bert2,45940692147
vincere.fred04,39854149267,ambos08_vincere,42674181798
vincere.fred04,39854149267,lozada11_vincere,46368881129
vincere.fred04,39854149267,che5.vincere,41215763151
vincere.fred04,39854149267,lozada3_vincere,45337490983
vincere.fred04,39854149267,lozada2_vincere,45620174739
vincere.fred04,39854149267,santanamaltaladominadora,38405175167
vincere.fred04,39854149267,ambos3_vincere,44406685356
vincere.fred04,39854149267,c00kie01.vincere,43806166730
vincere.fred04,39854149267,vincere.ericka09,39620920604
che1.vincere,41332711563,jammy04_vincere,47677579382
che1.vincere,41332711563,che3.vincere,41148694583
che1.vincere,41332711563,hana00_vincere,43109640523
che1.vincere,41332711563,an14_vincere,46400561255
che1.vincere,41332711563,hana_vincere,40832247412
che1.vincere,41332711563,lozada11_vincere,46368881129
che1.vincere,41332711563,vincere_shan14,32647449935
che1.vincere,41332711563,lozada3_vincere,45337490983
che1.vincere,41332711563,lozada2_vincere,45620174739
che1.vincere,41332711563,ambos3_vincere,44406685356
che1.vincere,41332711563,deerose_vincere05,45256186105
che1.vincere,41332711563,deerose_vincere04,45094113336
che1.vincere,41332711563,deerose_vincere03,45201783549
che1.vincere,41332711563,deerose_vincere02,45038871380
che1.vincere,41332711563,deerose_vincere01,45069491747
che1.vincere,41332711563,ambos08_vincere,42674181798
